,WIKA_A10[mV]
1316,0.9059653522
1317,0.9059374572
1318,0.9065419316
1319,0.9074395894
1320,0.9074198722
1321,0.9072759628
1322,0.9073416352000001
1323,0.9072026014000001
1324,0.9073723078
1325,0.9084909557999999
1326,0.9084228275999999
1327,0.9085452077999999
1328,0.9087138174
1329,0.907425177
1330,0.9063342214000001
1331,0.90603292
1332,0.9049071552000001
1333,0.9049845339999999
1334,0.9062323214000001
1335,0.9053947450000001
1336,0.905795324
1337,0.9069065094000001
1338,0.9068116904
1339,0.9067418456
1340,0.9076553106
1341,0.9075666783999999
1342,0.9076306104
1343,0.9064054966
1344,0.9065527440000001
1345,0.9065502406
1346,0.9065887333999999
1347,0.90643307
1348,0.9075058582000001
1349,0.9068970086
1350,0.9068561316
1351,0.907002294
1352,0.9070832369999999
1353,0.9072902796
1354,0.9078593967999999
1355,0.9078553676000001
1356,0.9076300978
1357,0.9075051188
1358,0.9074528932
1359,0.9074406504000001
1360,0.9072837830000001
1361,0.9073583722
1362,0.9072985172000001
1363,0.9072470425999999
1364,0.907275164
1365,0.9073897598
1366,0.9072578786000001
1367,0.9068648217999999
1368,0.9068829298000001
1369,0.9068763732
1370,0.9069294452
1371,0.906866157
1372,0.9074635982
1373,0.9075255274
1374,0.9076135874
1375,0.9074910284000002
1376,0.9076385379999999
1377,0.9075484276000001
1378,0.9073862672
1379,0.9071690322
1380,0.9072264671999999
1381,0.907328558
1382,0.9074198724
1383,0.906234038
1384,0.9063106297999999
1385,0.90570755
1386,0.9057232856
1387,0.9056550381999999
